variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.2650630652994568,1.3035131796352557,0.11791029516263056,2.2480061213811933,0.024575799588237045,1.0345464657876455,1.642407243824645,S4_180day
f.sexOther,NA,NA,0,NA,NA,NA,NA,S4_180day
f.age18-44,0.15223952169986507,1.1644391114678359,0.23601424671885798,0.6450437794173247,0.5188988153247964,0.733197698715473,1.8493217404957858,S4_180day
f.age45-54,-0.30026282452453457,0.7406235410695096,0.20029144400888046,-1.4991295609772608,0.1338400241083458,0.5001601953403091,1.096695088286912,S4_180day
f.age65-74,-0.19868008682171848,0.8198121200867227,0.14607904821901954,-1.3600861262720787,0.17380267086764195,0.6157035013961655,1.091583709881551,S4_180day
f.age75+,-0.29140777321695427,0.7472109232849736,0.16361001770167208,-1.7811120450357125,0.07489414839302697,0.5422232210230288,1.0296943071212918,S4_180day
f.raceBlack,0.17577440933590308,1.1921690860971133,0.211384366955857,0.8315393038152614,0.40566903433397444,0.7877840012466537,1.804133020722047,S4_180day
f.raceAsian,NA,NA,0,NA,NA,NA,NA,S4_180day
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S4_180day
f.raceAIAN,NA,NA,0,NA,NA,NA,NA,S4_180day
f.raceNative_Hawaiian_PI,-0.8705211208369896,0.41873328174244895,1.0599975886437856,-0.8212482086405294,0.4115049016978351,0.05244038815227558,3.343559561947914,S4_180day
f.raceOther,-0.009406447600359902,0.990637654637745,0.13904936377981408,-0.06764826062242972,0.9460656369402164,0.754320305607312,1.30098971947476,S4_180day
f.ethnicityHispanic,0.25712505734713087,1.2932068416642344,0.15699078105911565,1.6378353914317374,0.10145603656246772,0.9506862189272361,1.7591334575295714,S4_180day
f.ethnicityUnknown,0.49530685716462136,1.6410017149388876,0.665761615698065,0.7439702822838198,0.4568944539371319,0.4450529870451727,6.050710155460753,S4_180day
f.cancerMelanoma,-0.08021902560793079,0.9229141824080299,0.18334801054102265,-0.43752329447819355,0.6617318861655179,0.6443105021318664,1.3219877454605833,S4_180day
f.cancerOther,0.1096820172755777,1.1159231697459522,0.13702259015244414,0.8004666759951863,0.42344046345568426,0.8531010071498799,1.459715215829151,S4_180day
f.iciother_combo,0.35264692067777925,1.4228286833475359,0.11655501322386667,3.025583464183149,0.0024815390387741966,1.1322460247759885,1.7879872552937532,S4_180day
nci_cci_score,0.08601897542707032,1.089827008041835,0.02579770626661569,3.3343652547275413,8.549431136812695e-4,1.036092473781592,1.1463483593529022,S4_180day
ppi,0.3888397013351625,1.4752680488795347,0.12231213481166071,3.1790770550600524,0.0014774480957961715,1.1608033659119354,1.8749220410254597,S4_180day
nsaid,0.14697052255534515,1.1583198182182728,0.14352096363652203,1.024035226850618,0.3058186365427742,0.8743055217435186,1.5345949075119847,S4_180day
acei_arb,0.3326715107930268,1.3946890829036727,0.13940639780554054,2.386343209707447,0.01701686181005426,1.0612420759265897,1.8329066309139086,S4_180day
diuretic,0.06506058204226976,1.0672236770156909,0.13506857134356345,0.4816855719661105,0.6300293270014129,0.8190018361137964,1.3906762189781436,S4_180day
