variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,-0.021133575748904242,0.9790881733983847,0.0911391340214765,-0.23188256039303837,0.8166292301819403,0.8189248185268381,1.1705758936614394,S1_delta_0.3
f.sexOther,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.age18-44,-0.012726579660131599,0.9873540607998811,0.1929461163179287,-0.06595924241958445,0.947410274592794,0.676451843553763,1.4411492121250091,S1_delta_0.3
f.age45-54,-0.21939694989512876,0.8030029029628654,0.153854590515176,-1.42600197472488,0.1538677720467802,0.5939581562282175,1.0856213613792538,S1_delta_0.3
f.age65-74,-0.16598392080631819,0.8470598541193551,0.11513461658900083,-1.44165087550372,0.1494008884264063,0.6759449624859406,1.0614923348520806,S1_delta_0.3
f.age75+,-0.07734312996348396,0.9255722075548929,0.1268046690443207,-0.6099391335223707,0.5419021280563473,0.7218949030251032,1.1867155562507792,S1_delta_0.3
f.raceBlack,0.29969855870683,1.3494519657139996,0.16683555959316113,1.7963709861234831,0.07243553503952341,0.9730759625061238,1.8714064245091426,S1_delta_0.3
f.raceAsian,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.raceAIAN,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.raceNative_Hawaiian_PI,0.14496413255578486,1.1559981068268228,0.5719019984524413,0.2534772267767131,0.7998994570633681,0.37683675832478936,3.5461817178552324,S1_delta_0.3
f.raceOther,-0.010323385834588538,0.9897297174207297,0.10838419067043052,-0.09524807788600274,0.9241177829112849,0.800312905395309,1.2239774055147445,S1_delta_0.3
f.ethnicityHispanic,-0.028146785944032304,0.9722456443319424,0.12570788805203253,-0.22390628289277992,0.8228302268026741,0.7599294194959713,1.2438807719135094,S1_delta_0.3
f.ethnicityUnknown,-0.01678796535401649,0.9833521672600208,0.5499738211450094,-0.030525026298642816,0.9756483345781535,0.33463434617448123,2.8896659769370707,S1_delta_0.3
f.cancerMelanoma,0.12020249725791965,1.1277251897182767,0.14047455757108537,0.8556887406254524,0.39216996977275004,0.8563102076915016,1.4851675153489414,S1_delta_0.3
f.cancerOther,0.16931017929992756,1.1844874854483896,0.10301611751478264,1.6435309676238947,0.1002731235473759,0.9679278778291023,1.449499115916119,S1_delta_0.3
f.iciother_combo,0.2184917164097546,1.2441987101521803,0.09166869902913936,2.3834931522296516,0.017149203522693602,1.0395878825115272,1.4890808717436008,S1_delta_0.3
nci_cci_score,0.1678885896015349,1.1828048265498554,0.020664423026666327,8.12452345680708,4.491234663227044e-16,1.1358565827024427,1.2316935773537994,S1_delta_0.3
ppi,0.29008488474780414,1.3365409351506488,0.09726887961517487,2.9822990240606013,0.0028609241705354134,1.1045537241948065,1.6172519563370011,S1_delta_0.3
nsaid,0.08947109734805334,1.0935957250389603,0.11796885269071784,0.7584298338699805,0.448193703372858,0.8678437385646642,1.3780725223661647,S1_delta_0.3
acei_arb,0.2771581101129401,1.3193749610685324,0.1122217750099813,2.469735575723062,0.013521295769216606,1.0588754754801342,1.6439612855376309,S1_delta_0.3
diuretic,0.2311362561408681,1.2600309147028739,0.10488481624814056,2.203715126830532,0.027544384655346175,1.0258954015755262,1.5476021274378202,S1_delta_0.3
